Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8043,1490564,28/Jun/18 5:18 PM,AAKO-3987,11/Jun/18 9:56 AM,Update the Portal links for Roles,In Progress,,Spine,,5.0,,FirstBU,MUST,,,,,,Lannister,,,AAKO-Lannister - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-8042,1490453,25/Jun/18 12:45 PM,AAKO-4890,11/Jun/18 9:08 AM,Warning - Participant Crediting <>100% based on Customer Share Exception,Open,,Spine,,8.0,,COULD,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8041,1490447,29/Jun/18 11:31 AM,AAKO-4890,11/Jun/18 9:04 AM,Warning when No Participant is credited for Sales,Completed,Done,Spine,,3.0,,MUST,Spine,,,,,,Targaryen,Done,29/Jun/18 11:31 AM,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7978,1487884,20/Jun/18 11:37 AM,AAKO-3983,08/Jun/18 11:11 AM,Full-year Quota & Baseline View by Territory,Open,,Spine,,8.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-7977,1487880,20/Jun/18 11:37 AM,AAKO-3983,08/Jun/18 10:59 AM,Full-year Quota & Baseline View by Customer,Open,,Spine,,8.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-7900,1484427,27/Jun/18 3:18 PM,AAKO-297,07/Jun/18 8:44 AM,Admin/Cleanup Tasks: System/Portal Cleanup - Component/Table/Link Naming Conventions (no config/build),Completed,Done,Spine,,3.0,,FirstBU,,,,,,,Mormont,Done,27/Jun/18 3:18 PM,AAKO - Mormont - Corbett.1,,,,Spine,,,,,,,,,,,
Story,AAKO-7857,1482885,25/Jun/18 2:43 PM,AAKO-3978,06/Jun/18 6:05 PM,Validation Warning  - WWID Level Alliance ,Open,,Spine,,3.0,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-7856,1482249,13/Jun/18 6:19 PM,AAKO-22,06/Jun/18 1:48 PM,Update Geo Sales Adjustment Audit with Date/Time instead of just Date ,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,Done,13/Jun/18 6:19 PM,AAKO-Targaryen - IPC,,,,Spine,,,,,,,,,,,
Story,AAKO-7851,1481095,20/Jun/18 8:15 AM,AAKO-3982,06/Jun/18 9:40 AM,Studio Apps - Internal Analyst Portal Cleanup/Move Links,Completed,Done,Spine,,3.0,,FirstBU,,,,,,,Mormont,Done,20/Jun/18 8:15 AM,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-7837,1477999,25/Jun/18 8:00 AM,AAKO-3983,05/Jun/18 9:33 AM,C.1 Updates & Enhancements,Open,,Spine,,3.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-7026,,,,,,,
